Index Name,Date,Open,High,Low,Close
NIFTY SME EMERGE,22-Dec-17,-,-,-,1754.78
NIFTY SME EMERGE,21-Dec-17,-,-,-,1733.03
NIFTY SME EMERGE,20-Dec-17,-,-,-,1714.93
NIFTY SME EMERGE,19-Dec-17,-,-,-,1675.07
NIFTY SME EMERGE,18-Dec-17,-,-,-,1644.8
NIFTY SME EMERGE,15-Dec-17,-,-,-,1622.25
NIFTY SME EMERGE,14-Dec-17,-,-,-,1612.95
NIFTY SME EMERGE,13-Dec-17,-,-,-,1610.89
NIFTY SME EMERGE,12-Dec-17,-,-,-,1594.83
NIFTY SME EMERGE,11-Dec-17,-,-,-,1571.37
NIFTY SME EMERGE,08-Dec-17,-,-,-,1569.81
NIFTY SME EMERGE,07-Dec-17,-,-,-,1557.68
NIFTY SME EMERGE,06-Dec-17,-,-,-,1551.07
NIFTY SME EMERGE,05-Dec-17,-,-,-,1554.35
NIFTY SME EMERGE,04-Dec-17,-,-,-,1552.81
NIFTY SME EMERGE,01-Dec-17,-,-,-,1532.4
NIFTY SME EMERGE,30-Nov-17,-,-,-,1512.75
NIFTY SME EMERGE,29-Nov-17,-,-,-,1495.14
NIFTY SME EMERGE,28-Nov-17,-,-,-,1479.1
NIFTY SME EMERGE,27-Nov-17,-,-,-,1474.56
NIFTY SME EMERGE,24-Nov-17,-,-,-,1463.57
NIFTY SME EMERGE,23-Nov-17,-,-,-,1450.65
NIFTY SME EMERGE,22-Nov-17,-,-,-,1451.61
NIFTY SME EMERGE,21-Nov-17,-,-,-,1441.62
NIFTY SME EMERGE,20-Nov-17,-,-,-,1422.7
NIFTY SME EMERGE,17-Nov-17,-,-,-,1411.22
NIFTY SME EMERGE,16-Nov-17,-,-,-,1399.34
NIFTY SME EMERGE,15-Nov-17,-,-,-,1390.1
NIFTY SME EMERGE,14-Nov-17,-,-,-,1393.7
NIFTY SME EMERGE,13-Nov-17,-,-,-,1392.98
NIFTY SME EMERGE,10-Nov-17,-,-,-,1399.08
NIFTY SME EMERGE,09-Nov-17,-,-,-,1404.95
NIFTY SME EMERGE,08-Nov-17,-,-,-,1398.1
NIFTY SME EMERGE,07-Nov-17,-,-,-,1414.72
NIFTY SME EMERGE,06-Nov-17,-,-,-,1416.51
NIFTY SME EMERGE,03-Nov-17,-,-,-,1413.06
NIFTY SME EMERGE,02-Nov-17,-,-,-,1404.72
NIFTY SME EMERGE,01-Nov-17,-,-,-,1397.74
NIFTY SME EMERGE,31-Oct-17,-,-,-,1361.04
NIFTY SME EMERGE,30-Oct-17,-,-,-,1347.41
NIFTY SME EMERGE,27-Oct-17,-,-,-,1318.39
NIFTY SME EMERGE,26-Oct-17,-,-,-,1313.61
NIFTY SME EMERGE,25-Oct-17,-,-,-,1312.13
NIFTY SME EMERGE,24-Oct-17,-,-,-,1298.47
NIFTY SME EMERGE,23-Oct-17,-,-,-,1300.61
NIFTY SME EMERGE,19-Oct-17,-,-,-,1311.05
NIFTY SME EMERGE,18-Oct-17,-,-,-,1302.09
NIFTY SME EMERGE,17-Oct-17,-,-,-,1290.4
NIFTY SME EMERGE,16-Oct-17,-,-,-,1274.08
NIFTY SME EMERGE,13-Oct-17,-,-,-,1274.1
NIFTY SME EMERGE,12-Oct-17,-,-,-,1264.1
NIFTY SME EMERGE,11-Oct-17,-,-,-,1253.01
NIFTY SME EMERGE,10-Oct-17,-,-,-,1253.62
NIFTY SME EMERGE,09-Oct-17,-,-,-,1244.11
NIFTY SME EMERGE,06-Oct-17,-,-,-,1246.55
NIFTY SME EMERGE,05-Oct-17,-,-,-,1245.39
NIFTY SME EMERGE,04-Oct-17,-,-,-,1248.43
NIFTY SME EMERGE,03-Oct-17,-,-,-,1248.67
NIFTY SME EMERGE,29-Sep-17,-,-,-,1254.83
NIFTY SME EMERGE,28-Sep-17,-,-,-,1233.33
NIFTY SME EMERGE,27-Sep-17,-,-,-,1239.25
NIFTY SME EMERGE,26-Sep-17,-,-,-,1249.68
NIFTY SME EMERGE,25-Sep-17,-,-,-,1247.7
NIFTY SME EMERGE,22-Sep-17,-,-,-,1262.67
NIFTY SME EMERGE,21-Sep-17,-,-,-,1257.35
NIFTY SME EMERGE,20-Sep-17,-,-,-,1241.87
NIFTY SME EMERGE,19-Sep-17,-,-,-,1230.52
NIFTY SME EMERGE,18-Sep-17,-,-,-,1236.37
NIFTY SME EMERGE,15-Sep-17,-,-,-,1227.63
NIFTY SME EMERGE,14-Sep-17,-,-,-,1218.14
